id,name,price,size
307,Irohasu,70,500
308,AmebaWater,0,0
309,AlcaliIonWater,79,2000
310,Volvic,66,500
311,Volvic,66,500
312,Onsensui,321,2000
313,Onsensui,321,2000
314,CrystalGeyser,35,500
315,CrystalGeyser,35,500
316,Wilkinson,75,500
317,Contrex,108,1500
318,Onsensui,321,2000
319,Onsensui,321,2000
320,AlcaliIonWater,79,2000
321,AmebaWater,0,0
322,AmebaWater,0,0
323,Contrex,108,1500
324,Perrier,79,500
325,Wilkinson,75,500
326,AlcaliIonWater,79,2000
327,Wilkinson,75,500
328,CrystalGeyser,35,500
329,AlcaliIonWater,79,2000
330,Wilkinson,75,500
331,Perrier,79,500
332,AmebaWater,0,0
333,AlcaliIonWater,79,2000
334,Perrier,79,500
335,Volvic,66,500
336,AlcaliIonWater,79,2000
337,Perrier,79,500
338,Contrex,108,1500
339,Onsensui,321,2000
340,Irohasu,70,500
341,CrystalGeyser,35,500
342,Volvic,66,500
343,Volvic,66,500
344,Irohasu,70,500
345,CrystalGeyser,35,500
346,Contrex,108,1500
347,CrystalGeyser,35,500
348,Volvic,66,500
349,AmebaWater,0,0
350,Volvic,66,500
351,Wilkinson,75,500
352,Volvic,66,500
353,Perrier,79,500
354,Volvic,66,500
355,Perrier,79,500
356,Irohasu,70,500
357,Volvic,66,500
358,Irohasu,70,500
359,AlcaliIonWater,79,2000
360,AlcaliIonWater,79,2000
361,AlcaliIonWater,79,2000
362,AlcaliIonWater,79,2000
363,Perrier,79,500
364,AlcaliIonWater,79,2000
365,Perrier,79,500
366,Contrex,108,1500
367,Onsensui,321,2000
368,Wilkinson,75,500
369,AmebaWater,0,0
370,Volvic,66,500
371,AlcaliIonWater,79,2000
372,AmebaWater,0,0
373,Perrier,79,500
374,Perrier,79,500
375,Onsensui,321,2000
376,Perrier,79,500
377,Perrier,79,500
378,AlcaliIonWater,79,2000
379,Onsensui,321,2000
380,Onsensui,321,2000
381,Volvic,66,500
382,Wilkinson,75,500
383,Onsensui,321,2000
384,Contrex,108,1500
385,Onsensui,321,2000
386,Volvic,66,500
387,CrystalGeyser,35,500
388,Onsensui,321,2000
389,AmebaWater,0,0
390,Perrier,79,500
391,Onsensui,321,2000
392,Wilkinson,75,500
393,Onsensui,321,2000
394,Wilkinson,75,500
395,CrystalGeyser,35,500
396,Wilkinson,75,500
397,Onsensui,321,2000
398,AmebaWater,0,0
399,Perrier,79,500
400,Onsensui,321,2000
401,Wilkinson,75,500
402,Onsensui,321,2000
403,AlcaliIonWater,79,2000
404,Onsensui,321,2000
405,CrystalGeyser,35,500
406,Onsensui,321,2000
407,Contrex,108,1500
408,AlcaliIonWater,79,2000
409,Wilkinson,75,500
410,Volvic,66,500
411,Perrier,79,500
412,AmebaWater,0,0
413,Contrex,108,1500
414,AlcaliIonWater,79,2000
415,Irohasu,70,500
416,Volvic,66,500
417,AlcaliIonWater,79,2000
418,Wilkinson,75,500
419,Irohasu,70,500
420,AlcaliIonWater,79,2000
421,AmebaWater,0,0
422,CrystalGeyser,35,500
423,Irohasu,70,500
424,AmebaWater,0,0
425,Irohasu,70,500
426,Volvic,66,500
427,CrystalGeyser,35,500
428,AmebaWater,0,0
429,Irohasu,70,500
430,Perrier,79,500
431,Contrex,108,1500
432,Perrier,79,500
433,Volvic,66,500
434,Irohasu,70,500
435,Wilkinson,75,500
436,Perrier,79,500
437,Contrex,108,1500
438,Perrier,79,500
439,AmebaWater,0,0
440,Wilkinson,75,500
441,AmebaWater,0,0
442,Onsensui,321,2000
443,CrystalGeyser,35,500
444,AmebaWater,0,0
445,Perrier,79,500
446,Irohasu,70,500
447,Onsensui,321,2000
448,Onsensui,321,2000
449,Wilkinson,75,500
450,AmebaWater,0,0
451,AmebaWater,0,0
452,Onsensui,321,2000
453,CrystalGeyser,35,500
454,CrystalGeyser,35,500
455,Onsensui,321,2000
456,Contrex,108,1500
457,Contrex,108,1500
458,Onsensui,321,2000
459,AmebaWater,0,0
460,AmebaWater,0,0
461,Irohasu,70,500
462,Wilkinson,75,500
463,Onsensui,321,2000
464,Contrex,108,1500
465,AmebaWater,0,0
466,Volvic,66,500
467,Irohasu,70,500
468,Onsensui,321,2000
469,Wilkinson,75,500
470,Wilkinson,75,500
471,Contrex,108,1500
472,Irohasu,70,500
473,AlcaliIonWater,79,2000
474,Volvic,66,500
475,Contrex,108,1500
476,Irohasu,70,500
477,Irohasu,70,500
478,Irohasu,70,500
479,AlcaliIonWater,79,2000
480,Perrier,79,500
481,Irohasu,70,500
482,AmebaWater,0,0
483,Irohasu,70,500
484,AmebaWater,0,0
485,Contrex,108,1500
486,Irohasu,70,500
487,AmebaWater,0,0
488,CrystalGeyser,35,500
489,Onsensui,321,2000
490,Volvic,66,500
491,AmebaWater,0,0
492,Volvic,66,500
493,Wilkinson,75,500
494,Contrex,108,1500
495,Irohasu,70,500
496,Irohasu,70,500
497,Onsensui,321,2000
498,Volvic,66,500
499,Wilkinson,75,500
500,Volvic,66,500
501,AlcaliIonWater,79,2000
502,Perrier,79,500
503,Wilkinson,75,500
504,Wilkinson,75,500
505,Volvic,66,500
506,AlcaliIonWater,79,2000
507,Irohasu,70,500
508,Perrier,79,500
509,AmebaWater,0,0
510,Irohasu,70,500
511,AlcaliIonWater,79,2000
512,Contrex,108,1500
513,Onsensui,321,2000
514,Wilkinson,75,500
515,AmebaWater,0,0
516,Wilkinson,75,500
517,Volvic,66,500
518,CrystalGeyser,35,500
519,Wilkinson,75,500
520,Irohasu,70,500
521,Perrier,79,500
522,AlcaliIonWater,79,2000
523,AlcaliIonWater,79,2000
524,Volvic,66,500
525,Contrex,108,1500
526,AmebaWater,0,0
527,AlcaliIonWater,79,2000
528,Onsensui,321,2000
529,CrystalGeyser,35,500
530,Perrier,79,500
531,Irohasu,70,500
532,Wilkinson,75,500
533,Wilkinson,75,500
534,Perrier,79,500
535,Contrex,108,1500
536,Onsensui,321,2000
537,Wilkinson,75,500
538,Onsensui,321,2000
539,AlcaliIonWater,79,2000
540,Volvic,66,500
541,Irohasu,70,500
542,AmebaWater,0,0
543,CrystalGeyser,35,500
544,Perrier,79,500
545,Wilkinson,75,500
546,Onsensui,321,2000
547,AmebaWater,0,0
548,CrystalGeyser,35,500
549,Perrier,79,500
550,AlcaliIonWater,79,2000
551,AlcaliIonWater,79,2000
552,Perrier,79,500
553,AlcaliIonWater,79,2000
554,AlcaliIonWater,79,2000
555,Volvic,66,500
556,AlcaliIonWater,79,2000
557,Perrier,79,500
558,CrystalGeyser,35,500
559,Irohasu,70,500
560,Irohasu,70,500
561,Perrier,79,500
562,Irohasu,70,500
563,Perrier,79,500
564,Onsensui,321,2000
565,Contrex,108,1500
566,Onsensui,321,2000
567,Wilkinson,75,500
568,CrystalGeyser,35,500
569,AmebaWater,0,0
570,Irohasu,70,500
571,Onsensui,321,2000
572,Irohasu,70,500
573,Onsensui,321,2000
574,AlcaliIonWater,79,2000
575,Irohasu,70,500
576,Perrier,79,500
577,Volvic,66,500
578,Perrier,79,500
579,Wilkinson,75,500
580,Wilkinson,75,500
581,Volvic,66,500
582,AlcaliIonWater,79,2000
583,Perrier,79,500
584,Perrier,79,500
585,AmebaWater,0,0
586,Irohasu,70,500
587,AmebaWater,0,0
588,Perrier,79,500
589,AmebaWater,0,0
590,Wilkinson,75,500
591,Contrex,108,1500
592,Irohasu,70,500
593,Onsensui,321,2000
594,Contrex,108,1500
595,AlcaliIonWater,79,2000
596,Irohasu,70,500
597,CrystalGeyser,35,500
598,AmebaWater,0,0
599,Volvic,66,500
600,Perrier,79,500
601,Perrier,79,500
602,Irohasu,70,500
603,Contrex,108,1500
604,Irohasu,70,500
605,AlcaliIonWater,79,2000
606,Contrex,108,1500
607,AlcaliIonWater,79,2000
608,Perrier,79,500
609,Irohasu,70,500
610,Contrex,108,1500
611,CrystalGeyser,35,500
612,Irohasu,70,500
613,Volvic,66,500
614,Perrier,79,500
615,Volvic,66,500
616,AmebaWater,0,0
617,Volvic,66,500
618,Contrex,108,1500
619,Irohasu,70,500
620,CrystalGeyser,35,500
621,Onsensui,321,2000
622,Wilkinson,75,500
623,CrystalGeyser,35,500
624,Volvic,66,500
625,Contrex,108,1500
626,Perrier,79,500
627,Wilkinson,75,500
628,Contrex,108,1500
629,Volvic,66,500
630,Perrier,79,500
631,CrystalGeyser,35,500
632,Volvic,66,500
633,Irohasu,70,500
634,Contrex,108,1500
635,AmebaWater,0,0
636,AmebaWater,0,0
637,CrystalGeyser,35,500
638,Irohasu,70,500
639,Perrier,79,500
640,AlcaliIonWater,79,2000
641,AmebaWater,0,0
642,Volvic,66,500
643,AmebaWater,0,0
644,Perrier,79,500
645,Volvic,66,500
646,AlcaliIonWater,79,2000
647,AmebaWater,0,0
648,AlcaliIonWater,79,2000
649,Contrex,108,1500
650,CrystalGeyser,35,500
651,CrystalGeyser,35,500
652,AmebaWater,0,0
653,AmebaWater,0,0
654,Irohasu,70,500
655,Perrier,79,500
656,Volvic,66,500
657,AmebaWater,0,0
658,Irohasu,70,500
659,Volvic,66,500
660,Volvic,66,500
661,AlcaliIonWater,79,2000
662,CrystalGeyser,35,500
663,Onsensui,321,2000
664,Wilkinson,75,500
665,Wilkinson,75,500
666,Onsensui,321,2000
667,Perrier,79,500
668,Perrier,79,500
669,Contrex,108,1500
670,Onsensui,321,2000
671,Perrier,79,500
672,CrystalGeyser,35,500
673,CrystalGeyser,35,500
674,AlcaliIonWater,79,2000
675,Contrex,108,1500
676,Wilkinson,75,500
677,AlcaliIonWater,79,2000
678,AmebaWater,0,0
679,Wilkinson,75,500
680,AlcaliIonWater,79,2000
681,Volvic,66,500
682,Onsensui,321,2000
683,Onsensui,321,2000
684,Perrier,79,500
685,Volvic,66,500
686,AmebaWater,0,0
687,Perrier,79,500
688,AlcaliIonWater,79,2000
689,CrystalGeyser,35,500
690,Wilkinson,75,500
691,AmebaWater,0,0
692,Volvic,66,500
693,Contrex,108,1500
694,Contrex,108,1500
695,AmebaWater,0,0
696,AlcaliIonWater,79,2000
697,Onsensui,321,2000
698,AlcaliIonWater,79,2000
699,AlcaliIonWater,79,2000
700,Wilkinson,75,500
701,Volvic,66,500
702,AmebaWater,0,0
703,AlcaliIonWater,79,2000
704,Perrier,79,500
705,Irohasu,70,500
706,Perrier,79,500
707,Contrex,108,1500
708,Contrex,108,1500
709,Perrier,79,500
710,AlcaliIonWater,79,2000
711,AlcaliIonWater,79,2000
712,Irohasu,70,500
713,AmebaWater,0,0
714,Irohasu,70,500
715,Wilkinson,75,500
716,Onsensui,321,2000
717,Onsensui,321,2000
718,CrystalGeyser,35,500
719,CrystalGeyser,35,500
720,AlcaliIonWater,79,2000
721,Contrex,108,1500
722,AlcaliIonWater,79,2000
723,Onsensui,321,2000
724,Perrier,79,500
725,Contrex,108,1500
726,CrystalGeyser,35,500
727,Irohasu,70,500
728,Perrier,79,500
729,Contrex,108,1500
730,Contrex,108,1500
731,CrystalGeyser,35,500
732,CrystalGeyser,35,500
733,Onsensui,321,2000
734,Wilkinson,75,500
735,Contrex,108,1500
736,Contrex,108,1500
737,CrystalGeyser,35,500
738,CrystalGeyser,35,500
739,AlcaliIonWater,79,2000
740,Perrier,79,500
741,Wilkinson,75,500
742,CrystalGeyser,35,500
743,Wilkinson,75,500
744,Onsensui,321,2000
745,AmebaWater,0,0
746,Contrex,108,1500
747,Wilkinson,75,500
748,AlcaliIonWater,79,2000
749,Irohasu,70,500
750,Wilkinson,75,500
751,AmebaWater,0,0
752,Onsensui,321,2000
753,AmebaWater,0,0
754,Perrier,79,500
755,CrystalGeyser,35,500
756,AlcaliIonWater,79,2000
757,AlcaliIonWater,79,2000
758,Contrex,108,1500
759,Wilkinson,75,500
760,Irohasu,70,500
761,Contrex,108,1500
762,CrystalGeyser,35,500
763,Irohasu,70,500
764,AmebaWater,0,0
765,Irohasu,70,500
766,AmebaWater,0,0
767,Perrier,79,500
768,CrystalGeyser,35,500
769,Irohasu,70,500
770,Wilkinson,75,500
771,Irohasu,70,500
772,Contrex,108,1500
773,AlcaliIonWater,79,2000
774,Wilkinson,75,500
775,AlcaliIonWater,79,2000
776,AmebaWater,0,0
777,Wilkinson,75,500
778,CrystalGeyser,35,500
779,CrystalGeyser,35,500
780,AlcaliIonWater,79,2000
781,AlcaliIonWater,79,2000
782,AmebaWater,0,0
783,Volvic,66,500
784,Contrex,108,1500
785,AlcaliIonWater,79,2000
786,Wilkinson,75,500
787,Volvic,66,500
788,Contrex,108,1500
789,Irohasu,70,500
790,Perrier,79,500
791,Contrex,108,1500
792,Volvic,66,500
793,AlcaliIonWater,79,2000
794,AmebaWater,0,0
795,AmebaWater,0,0
796,Wilkinson,75,500
797,AmebaWater,0,0
798,AlcaliIonWater,79,2000
799,Irohasu,70,500
800,CrystalGeyser,35,500
801,Contrex,108,1500
802,Contrex,108,1500
803,Wilkinson,75,500
804,Volvic,66,500
805,AmebaWater,0,0
806,Irohasu,70,500
807,Irohasu,70,500
808,CrystalGeyser,35,500
809,Volvic,66,500
810,CrystalGeyser,35,500
811,AmebaWater,0,0
812,AmebaWater,0,0
813,Contrex,108,1500
814,Contrex,108,1500
815,AlcaliIonWater,79,2000
816,CrystalGeyser,35,500
817,AlcaliIonWater,79,2000
818,Contrex,108,1500
819,Volvic,66,500
820,Perrier,79,500
821,AmebaWater,0,0
822,Contrex,108,1500
823,CrystalGeyser,35,500
824,Onsensui,321,2000
825,Contrex,108,1500
826,AlcaliIonWater,79,2000
827,Contrex,108,1500
828,Perrier,79,500
829,AlcaliIonWater,79,2000
830,Perrier,79,500
831,Wilkinson,75,500
832,AlcaliIonWater,79,2000
833,AlcaliIonWater,79,2000
834,Contrex,108,1500
835,Irohasu,70,500
836,CrystalGeyser,35,500
837,Onsensui,321,2000
838,Volvic,66,500
839,AlcaliIonWater,79,2000
840,CrystalGeyser,35,500
841,Wilkinson,75,500
842,AmebaWater,0,0
843,Onsensui,321,2000
844,Perrier,79,500
845,Volvic,66,500
846,Irohasu,70,500
847,AlcaliIonWater,79,2000
848,Irohasu,70,500
849,AlcaliIonWater,79,2000
850,AlcaliIonWater,79,2000
851,Contrex,108,1500
852,Wilkinson,75,500
853,Perrier,79,500
854,Perrier,79,500
855,AmebaWater,0,0
856,AmebaWater,0,0
857,Wilkinson,75,500
858,Wilkinson,75,500
859,Onsensui,321,2000
860,Wilkinson,75,500
861,CrystalGeyser,35,500
862,CrystalGeyser,35,500
863,Contrex,108,1500
864,AlcaliIonWater,79,2000
865,Irohasu,70,500
866,AlcaliIonWater,79,2000
867,Volvic,66,500
868,Onsensui,321,2000
869,Contrex,108,1500
870,Perrier,79,500
871,Wilkinson,75,500
872,CrystalGeyser,35,500
873,Onsensui,321,2000
874,Wilkinson,75,500
875,Perrier,79,500
876,Irohasu,70,500
877,AmebaWater,0,0
878,AlcaliIonWater,79,2000
879,Irohasu,70,500
880,Irohasu,70,500
881,Perrier,79,500
882,AmebaWater,0,0
883,Contrex,108,1500
884,AlcaliIonWater,79,2000
885,Wilkinson,75,500
886,Irohasu,70,500
887,Volvic,66,500
888,Contrex,108,1500
889,AmebaWater,0,0
890,AlcaliIonWater,79,2000
891,Irohasu,70,500
892,Irohasu,70,500
893,Volvic,66,500
894,Volvic,66,500
895,Contrex,108,1500
896,CrystalGeyser,35,500
897,AmebaWater,0,0
898,Perrier,79,500
899,Irohasu,70,500
900,Wilkinson,75,500
901,AmebaWater,0,0
902,AmebaWater,0,0
903,Perrier,79,500
904,CrystalGeyser,35,500
905,Volvic,66,500
906,Onsensui,321,2000
907,AlcaliIonWater,79,2000
908,Onsensui,321,2000
909,Contrex,108,1500
910,CrystalGeyser,35,500
911,Wilkinson,75,500
912,Wilkinson,75,500
913,Volvic,66,500
914,Contrex,108,1500
915,Contrex,108,1500
916,Volvic,66,500
917,Wilkinson,75,500
918,Onsensui,321,2000
919,Contrex,108,1500
920,AlcaliIonWater,79,2000
921,Perrier,79,500
922,Perrier,79,500
923,CrystalGeyser,35,500
924,CrystalGeyser,35,500
925,CrystalGeyser,35,500
926,Volvic,66,500
927,CrystalGeyser,35,500
928,AlcaliIonWater,79,2000
929,Perrier,79,500
930,Volvic,66,500
931,AmebaWater,0,0
932,Volvic,66,500
933,Contrex,108,1500
934,Contrex,108,1500
935,AmebaWater,0,0
936,Perrier,79,500
937,CrystalGeyser,35,500
938,Onsensui,321,2000
939,Contrex,108,1500
940,AlcaliIonWater,79,2000
941,Wilkinson,75,500
942,Volvic,66,500
943,Volvic,66,500
944,AmebaWater,0,0
945,Wilkinson,75,500
946,Irohasu,70,500
947,Perrier,79,500
948,Perrier,79,500
949,Wilkinson,75,500
950,Perrier,79,500
951,Perrier,79,500
952,AmebaWater,0,0
953,AmebaWater,0,0
954,CrystalGeyser,35,500
955,Irohasu,70,500
956,Perrier,79,500
957,Irohasu,70,500
958,Onsensui,321,2000
959,Onsensui,321,2000
960,Wilkinson,75,500
961,Onsensui,321,2000
962,Irohasu,70,500
963,AmebaWater,0,0
964,AmebaWater,0,0
965,AmebaWater,0,0
966,Wilkinson,75,500
967,Volvic,66,500
968,Onsensui,321,2000
969,Wilkinson,75,500
970,AmebaWater,0,0
971,Irohasu,70,500
972,Perrier,79,500
973,Irohasu,70,500
974,AmebaWater,0,0
975,Contrex,108,1500
976,Perrier,79,500
977,AmebaWater,0,0
978,Irohasu,70,500
979,Contrex,108,1500
980,Volvic,66,500
981,Volvic,66,500
982,CrystalGeyser,35,500
983,Irohasu,70,500
984,Contrex,108,1500
985,Perrier,79,500
986,Irohasu,70,500
987,Volvic,66,500
988,Irohasu,70,500
989,Volvic,66,500
990,Volvic,66,500
991,AmebaWater,0,0
992,Contrex,108,1500
993,Irohasu,70,500
994,Wilkinson,75,500
995,Perrier,79,500
996,Perrier,79,500
997,Irohasu,70,500
998,CrystalGeyser,35,500
999,Irohasu,70,500
1000,AlcaliIonWater,79,2000
1001,Contrex,108,1500
1002,AmebaWater,0,0
1003,Wilkinson,75,500
1004,Perrier,79,500
1005,Contrex,108,1500
1006,Contrex,108,1500
1007,Onsensui,321,2000
1008,Perrier,79,500
1009,AlcaliIonWater,79,2000
1010,CrystalGeyser,35,500
1011,Wilkinson,75,500
1012,AlcaliIonWater,79,2000
1013,AmebaWater,0,0
1014,AmebaWater,0,0
1015,AlcaliIonWater,79,2000
1016,Contrex,108,1500
1017,Perrier,79,500
1018,Irohasu,70,500
1019,CrystalGeyser,35,500
1020,Wilkinson,75,500
1021,Contrex,108,1500
1022,AlcaliIonWater,79,2000
1023,CrystalGeyser,35,500
1024,Wilkinson,75,500
1025,Onsensui,321,2000
1026,Volvic,66,500
1027,AmebaWater,0,0
1028,Onsensui,321,2000
1029,Contrex,108,1500
1030,CrystalGeyser,35,500
1031,AmebaWater,0,0
1032,Irohasu,70,500
1033,AmebaWater,0,0
1034,Volvic,66,500
1035,AmebaWater,0,0
1036,Onsensui,321,2000
1037,Contrex,108,1500
1038,Onsensui,321,2000
1039,Contrex,108,1500
1040,AlcaliIonWater,79,2000
1041,Wilkinson,75,500
1042,Irohasu,70,500
1043,Irohasu,70,500
1044,Irohasu,70,500
1045,Contrex,108,1500
1046,Onsensui,321,2000
1047,AmebaWater,0,0
1048,AlcaliIonWater,79,2000
1049,Volvic,66,500
1050,Volvic,66,500
1051,AlcaliIonWater,79,2000
1052,AlcaliIonWater,79,2000
1053,Onsensui,321,2000
1054,AmebaWater,0,0
1055,CrystalGeyser,35,500
1056,AlcaliIonWater,79,2000
1057,Volvic,66,500
1058,CrystalGeyser,35,500
1059,Contrex,108,1500
1060,Volvic,66,500
1061,CrystalGeyser,35,500
1062,CrystalGeyser,35,500
1063,Onsensui,321,2000
1064,Volvic,66,500
1065,AmebaWater,0,0
1066,CrystalGeyser,35,500
1067,CrystalGeyser,35,500
